"Z","mass","abundance","A"
1,1.007825,99.9885,1
1,2.014102,0.0115,2
1,3.016049,NA,3
2,3.016029,0.000137,3
2,4.002603,99.999863,4
3,6.015122,7.59,6
3,7.016004,92.41,7
4,9.012182,100,9
5,10.012937,19.9,10
5,11.009305,80.1,11
6,12,98.93,12
6,13.003355,1.07,13
6,14.003242,NA,14
7,14.003074,99.632,14
7,15.000109,0.368,15
8,15.994915,99.757,16
8,16.999132,0.038,17
8,17.99916,0.205,18
9,18.998403,100,19
10,19.99244,90.48,20
10,20.993847,0.27,21
10,21.991386,9.25,22
11,22.98977,100,23
12,23.985042,78.99,24
12,24.985837,10,25
12,25.982593,11.01,26
13,26.981538,100,27
14,27.976927,92.2297,28
14,28.976495,4.6832,29
14,29.97377,3.0872,30
15,30.973762,100,31
16,31.972071,94.93,32
16,32.971458,0.76,33
16,33.967867,4.29,34
16,35.967081,0.02,36
17,34.968853,75.78,35
17,36.965903,24.22,37
18,35.967546,0.3365,36
18,37.962732,0.0632,38
18,39.962383,99.6003,40
19,38.963707,93.2581,39
19,39.963999,0.0117,40
19,40.961826,6.7302,41
20,39.962591,96.941,40
20,41.958618,0.647,42
20,42.958767,0.135,43
20,43.955481,2.086,44
20,45.953693,0.004,46
20,47.952534,0.187,48
21,44.95591,100,45
22,45.952629,8.25,46
22,46.951764,7.44,47
22,47.947947,73.72,48
22,48.947871,5.41,49
22,49.944792,5.18,50
23,49.947163,0.25,50
23,50.943964,99.75,51
24,49.94605,4.345,50
24,51.940512,83.789,52
24,52.940654,9.501,53
24,53.938885,2.365,54
25,54.93805,100,55
26,53.939615,5.845,54
26,55.934942,91.754,56
26,56.935399,2.119,57
26,57.93328,0.282,58
27,58.9332,100,59
28,57.935348,68.0769,58
28,59.930791,26.2231,60
28,60.93106,1.1399,61
28,61.928349,3.6345,62
28,63.92797,0.9256,64
29,62.929601,69.17,63
29,64.927794,30.83,65
30,63.929147,48.63,64
30,65.926037,27.9,66
30,66.927131,4.1,67
30,67.924848,18.75,68
30,69.925325,0.62,70
31,68.925581,60.108,69
31,70.924705,39.892,71
32,69.92425,20.84,70
32,71.922076,27.54,72
32,72.923459,7.73,73
32,73.921178,36.28,74
32,75.921403,7.61,76
33,74.921596,100,75
34,73.922477,0.89,74
34,75.919214,9.37,76
34,76.919915,7.63,77
34,77.91731,23.77,78
34,79.916522,49.61,80
34,81.9167,8.73,82
35,78.918338,50.69,79
35,80.916291,49.31,81
36,77.920386,0.35,78
36,79.916378,2.28,80
36,81.913485,11.58,82
36,82.914136,11.49,83
36,83.911507,57,84
36,85.91061,17.3,86
37,84.911789,72.17,85
37,86.909183,27.83,87
38,83.913425,0.56,84
38,85.909262,9.86,86
38,86.908879,7,87
38,87.905614,82.58,88
39,88.905848,100,89
40,89.904704,51.45,90
40,90.905645,11.22,91
40,91.90504,17.15,92
40,93.906316,17.38,94
40,95.908276,2.8,96
41,92.906378,100,93
42,91.90681,14.84,92
42,93.905088,9.25,94
42,94.905841,15.92,95
42,95.904679,16.68,96
42,96.906021,9.55,97
42,97.905408,24.13,98
42,99.907477,9.63,100
43,97.907216,NA,98
44,95.907598,5.54,96
44,97.905287,1.87,98
44,98.905939,12.76,99
44,99.90422,12.6,100
44,100.905582,17.06,101
44,101.90435,31.55,102
44,103.90543,18.62,104
45,102.905504,100,103
46,101.905608,1.02,102
46,103.904035,11.14,104
46,104.905084,22.33,105
46,105.903483,27.33,106
46,107.903894,26.46,108
46,109.905152,11.72,110
47,106.905093,51.839,107
47,108.904756,48.161,109
48,105.906458,1.25,106
48,107.904183,0.89,108
48,109.903006,12.49,110
48,110.904182,12.8,111
48,111.902757,24.13,112
48,112.904401,12.22,113
48,113.903358,28.73,114
48,115.904755,7.49,116
49,112.904061,4.29,113
49,114.903878,95.71,115
50,111.904821,0.97,112
50,113.902782,0.66,114
50,114.903346,0.34,115
50,115.901744,14.54,116
50,116.902954,7.68,117
50,117.901606,24.22,118
50,118.903309,8.59,119
50,119.902197,32.58,120
50,121.90344,4.63,122
50,123.905275,5.79,124
51,120.903818,57.21,121
51,122.904216,42.79,123
52,119.90402,0.09,120
52,121.903047,2.55,122
52,122.904273,0.89,123
52,123.902819,4.74,124
52,124.904425,7.07,125
52,125.903306,18.84,126
52,127.904461,31.74,128
52,129.906223,34.08,130
53,126.904468,100,127
54,123.905896,0.09,124
54,125.904269,0.09,126
54,127.90353,1.92,128
54,128.904779,26.44,129
54,129.903508,4.08,130
54,130.905082,21.18,131
54,131.904154,26.89,132
54,133.905395,10.44,134
54,135.90722,8.87,136
55,132.905447,100,133
56,129.90631,0.106,130
56,131.905056,0.101,132
56,133.904503,2.417,134
56,134.905683,6.592,135
56,135.90457,7.854,136
56,136.905821,11.232,137
56,137.905241,71.698,138
57,137.907107,0.09,138
57,138.906348,99.91,139
58,135.907144,0.185,136
58,137.905986,0.251,138
58,139.905434,88.45,140
58,141.90924,11.114,142
59,140.907648,100,141
60,141.907719,27.2,142
60,142.90981,12.2,143
60,143.910083,23.8,144
60,144.912569,8.3,145
60,145.913112,17.2,146
60,147.916889,5.7,148
60,149.920887,5.6,150
61,144.912744,NA,145
62,143.911995,3.07,144
62,146.914893,14.99,147
62,147.914818,11.24,148
62,148.91718,13.82,149
62,149.917271,7.38,150
62,151.919728,26.75,152
62,153.922205,22.75,154
63,150.919846,47.81,151
